rank,neuron_index,beta_state1,abs_beta
1,82,1.0674511644487967,1.0674511644487967
2,112,-1.0453444433592853,1.0453444433592853
3,30,-0.9763990542321858,0.9763990542321858
4,64,-0.8836760049536521,0.8836760049536521
5,10,-0.8352844160658325,0.8352844160658325
6,121,-0.7502133776607766,0.7502133776607766
7,69,0.7374871925282485,0.7374871925282485
8,44,-0.6967374407690747,0.6967374407690747
9,74,0.6821714685745687,0.6821714685745687
10,5,0.6438103891340674,0.6438103891340674
11,2,-0.6321319898835964,0.6321319898835964
12,24,0.6104151787927965,0.6104151787927965
13,89,-0.5894037571871098,0.5894037571871098
14,62,-0.579302012077876,0.579302012077876
15,50,0.5681805791489768,0.5681805791489768
16,36,-0.566400270204725,0.566400270204725
17,107,0.5384653763184581,0.5384653763184581
18,122,0.5344444111844716,0.5344444111844716
19,32,0.5288733690284361,0.5288733690284361
20,11,0.5281309832005102,0.5281309832005102
21,3,0.5140635845306283,0.5140635845306283
22,113,0.5048540496165415,0.5048540496165415
23,57,-0.49602022887642566,0.49602022887642566
24,35,0.49336463204162906,0.49336463204162906
25,25,-0.4922184993100645,0.4922184993100645
26,31,-0.47869948441279314,0.47869948441279314
27,7,0.47736522800571646,0.47736522800571646
28,104,-0.4544164575651473,0.4544164575651473
29,105,0.4137238528569985,0.4137238528569985
30,41,0.4048390341216769,0.4048390341216769
31,12,-0.3861794588159718,0.3861794588159718
32,106,0.3760621400966791,0.3760621400966791
33,6,0.37583932740746206,0.37583932740746206
34,9,0.3739906735884779,0.3739906735884779
35,100,-0.3586843168866324,0.3586843168866324
36,79,-0.35621615667120793,0.35621615667120793
37,95,0.34896173016712256,0.34896173016712256
38,15,-0.33779120337049967,0.33779120337049967
39,116,-0.32000244606388334,0.32000244606388334
40,53,0.3026004228102171,0.3026004228102171
41,58,-0.298222774071238,0.298222774071238
42,124,0.297748808266518,0.297748808266518
43,67,0.2965926199881303,0.2965926199881303
44,91,-0.29226465233921517,0.29226465233921517
45,46,0.284705825352626,0.284705825352626
46,80,0.2828739419681111,0.2828739419681111
47,97,0.2814843574055992,0.2814843574055992
48,77,-0.27608083774454595,0.27608083774454595
49,19,-0.2728339972109912,0.2728339972109912
50,98,0.26861015095788887,0.26861015095788887
51,103,-0.2644927580619931,0.2644927580619931
52,33,-0.26284013972763753,0.26284013972763753
53,70,0.25738142054123686,0.25738142054123686
54,4,0.24523368833987794,0.24523368833987794
55,101,-0.24231888106102123,0.24231888106102123
56,115,-0.22960650251709322,0.22960650251709322
57,21,-0.2290931011337378,0.2290931011337378
58,110,0.22855427260713304,0.22855427260713304
59,59,0.22239803672567449,0.22239803672567449
60,14,0.22154678570171082,0.22154678570171082
61,96,0.22002705059136646,0.22002705059136646
62,0,0.21864263229633854,0.21864263229633854
63,111,0.21669055766077983,0.21669055766077983
64,29,-0.2143410257435576,0.2143410257435576
65,75,-0.21071111240224732,0.21071111240224732
66,38,-0.20961026267900876,0.20961026267900876
67,87,-0.20908281768943385,0.20908281768943385
68,81,-0.20506518131857407,0.20506518131857407
69,63,0.20399773321890333,0.20399773321890333
70,65,-0.2005820156624184,0.2005820156624184
71,52,-0.19676584539651398,0.19676584539651398
72,1,-0.19513440951644603,0.19513440951644603
73,119,-0.18672807420808443,0.18672807420808443
74,42,-0.18336346426129396,0.18336346426129396
75,85,0.1784125116805871,0.1784125116805871
76,56,0.17839497273974797,0.17839497273974797
77,51,-0.17288999742619943,0.17288999742619943
78,28,0.16192359417168267,0.16192359417168267
79,83,-0.1547468783759408,0.1547468783759408
80,17,-0.15425859251208413,0.15425859251208413
